,artist_id,artist_name,followers,main_genre,subgenre,source
1563,564gvOqSRcQoYAhaBpTiK2,Lil Twist,36316.0,hip hop,rap,LastFM
1564,0VyVI2zGDVeE4YEQkKHzwa,Corey Gunz,994.0,hip hop,hip hop,LastFM
1565,7s47glsDg6fwq9KXNTsTpa,Gudda Gudda,52084.0,hip hop,hip hop,LastFM
1566,0qWtta2AJnHQITmWvhcehs,Jae Millz,74823.0,hip hop,rap,LastFM
1567,3R7uKQaulGsXoZVtypFkTf,Flow,151.0,rock,j-rock,LastFM
1568,0omFWrLn7oQeN8BuSOcP1P,Shanell,4877.0,hip hop,hip hop,LastFM
1569,4eAOcbAXIF4BmbN6E1QIlw,Christina Milian,1408982.0,pop,pop,LastFM
1570,2C2sVVXanbOpymYBMpsi89,The Cab,562284.0,rock,pop punk,LastFM
1571,3niqfoc7C6lIeCNVz8iZYE,Framing Hanley,209367.0,rock,alternative rock,LastFM
1572,1wgY8huggK60P5nvYrwcYT,Asher Roth,244739.0,hip hop,rap,LastFM
1573,5yyMbFWf7vC14hXTV9cX3q,Coyle Girelli,4751.0,pop,pop,LastFM
1574,61YE3whKiuRr83j1yOm5M7,Augustana,219654.0,indie,indie,LastFM
1575,3zunDAtRDg7kflREzWAhxl,Eels,491231.0,indie,indie,LastFM
1576,6HfPfjqkmkpLbYqYhTeNuB,Jared Evan,10574.0,hip hop,rap,LastFM
1577,3k6N3Uk96GQCgO4XQszWM8,Alphonsus Liguori,67.0,classical,classical,LastFM
1578,5ZXNOXOsjRXN4VmGjjscXq,Oreste Ravanello,217.0,classical,classical,LastFM
1579,0BqezCYj8xslLQ70SmdUPf,Gregor Aichinger,105.0,classical,classical,LastFM
1580,03ilIKH0i08IxmjKcn63ne,Drake Bell,427636.0,rock,pop rock,LastFM
1581,03i1KfaqNYDxAxcLFfAztI,TC,172.0,edm,drum and bass,LastFM
1582,0jtyjFGMykqtPqsl8J6kZi,Braille,56.0,hip hop,rap,LastFM
1583,5YphSvUesHHe5YRXIiTk0G,Dr. Pete,23.0,hip hop,hip hop,LastFM
1584,1JbB3pybR1wjrQSBLaMWyn,The Stepkids,10397.0,funk,funk,LastFM
1585,6UcJxoeHWWWyT5HZP064om,Chet Faker,458728.0,edm,downtempo,LastFM
1586,2rnZ3TYlGce0bg2ogrtShe,Boris Grebenshikov,79515.0,rock,rock,LastFM
1587,2xN99BSJoqEsXIVIA1NYRG,Baird Hersey,749.0,big band,ambient,LastFM
1588,686xdueUe4eWKb1G29vJvN,Prana,306.0,edm,psytrance,LastFM
1589,6dgwEwnK0YtDfS9XhRwBTG,Broken Bells,619960.0,indie,indie,LastFM
1590,3YHpeM8l5FGcYTb1EfXmzB,James Durbin,38930.0,rock,rock,LastFM
1591,39x8gyJjTHiBQklFgVJSV4,Eric Hutchinson,155448.0,singer-songwriter,singer-songwriter,LastFM
1592,2l35CQqtYRh3d8ZIiBep4v,MKTO,1108445.0,pop,pop,LastFM
1593,2bTm4w6dMoGgSV5Ifzqqvp,Jessica Ashley,734.0,pop,pop,LastFM
1594,4ddt8PPvmWrI9mJQy1VrIG,Band Of Skulls,265000.0,rock,indie,LastFM
1595,7dFJWWaHc5Z8oQbIRgBcwQ,Doe B,153128.0,hip hop,rap,LastFM
1596,6lEUWZRliB7tJKM8W2BOya,Sulaiman,790.0,hip hop,hip hop,LastFM
1597,6r1Xmz7YUD4z0VRUoGm8XN,Leon Russell,279579.0,singer-songwriter,classic rock,LastFM
1598,3qkZBMz5JgmRN9u5wwhRC6,The Hold Steady,87206.0,rock,indie rock,LastFM
1599,7FOjWkXe3d8eyCVCmG3OiY,Pak X Emh,900.0,hip hop,hip hop,LastFM
1600,6asmpfwwanm7jSQldjBu7y,B. Lewis,4962.0,hip hop,hip hop,LastFM
1601,0hK26QoGcuKV3lH0x9MvUU,The Colourist,51074.0,indie,indie pop,LastFM
1602,6WW7gF6rdDASW1brWmFUzM,Sisyphus,15570.0,hip hop,hip hop,LastFM
1603,1rHf7vRCsDRBkbA1XGT9e1,Candice Glover,11834.0,soul,soul,LastFM
1604,4gwpcMTbLWtBUlOijbVpuu,Capital Cities,977846.0,indie,electronic,LastFM
1605,3rUqaKQuOgNiClxsadaqD5,Napoleon,9046.0,rock,melodic hardcore,LastFM
1606,48winkpWFHrGHkA5x0YNYD,Clifflight,510.0,pop,pop,LastFM
1607,2Mu6EXEvZgJedsm8fCrkiD,The Von Trapps,4225.0,indie,indie,LastFM
1608,3s4aVgqEf5mdv6ubR7nwfE,Michael Thompson,343.0,experimental,experimental,LastFM
1609,27x5boWqlA0tWUHq9F1UPb,Lucian Piane,12793.0,edm,electronic,LastFM
1610,1Eqmku5RGosz51zTCZFgDi,Frankmusik,23461.0,edm,electronic,LastFM
1611,3oL2HgszQreLzkQqrj43zG,Clairy Browne,3643.0,pop,pop,LastFM
1612,4hf3caW9H8uFwwbv5pFjcg,Jake Bugg,821190.0,indie,folk,LastFM
1613,1lEXbUjKjHQ7uc9jFfEViJ,TGT,145768.0,soul,soul,LastFM
1614,32VkVgE5ihEAeVIdyHZaC8,Black Ty,136.0,hip hop,rap,LastFM
1615,0INDB6Snts5NDbzh8jC3lk,Run River North,79363.0,indie,indie,LastFM
1616,6J7rw7NELJUCThPbAfyLIE,The Civil Wars,803419.0,singer-songwriter,folk,LastFM
1617,5T0Vi8WwwfjX9tmUI9Mae9,Howard Jones,1284.0,new wave,new wave,LastFM
1618,0DGexM9UeEMijhLRbKetCN,Dave Pirner,1017.0,rock,alternative rock,LastFM
1619,183DuT2WcaEO2tclTJW1tU,Neil Finn,90211.0,singer-songwriter,singer-songwriter,LastFM
1620,6fBF4MULW5yMzyGaon1kUt,John Butler Trio,509255.0,rock,rock,LastFM
1621,2gaWNB3YrlTc0KRlHNqhol,Paul Rodgers,54680.0,blues,blues rock,LastFM
1622,0p1LdP1XicX0UA5GNA2DWc,Augustines,47106.0,rock,rock,LastFM
1623,63aP18bg2ABSOqSNQcAMNy,Allen Toussaint,97782.0,soul,soul,LastFM
1624,6p9Qy71KocWwjmpUcHUTda,Rebirth Brass Band,63508.0,jazz,jazz,LastFM
1625,5nCi3BB41mBaMH9gfr6Su0,fun.,3107020.0,indie,indie pop,LastFM
1626,7hbH1qupmU6HxVBjWJItlq,Dave Barnes,87442.0,singer-songwriter,singer-songwriter,LastFM
1627,25hbSOMmbhgqvonjC876UJ,Aer,139021.0,hip hop,hip hop,LastFM
1628,4aSEmLLxLX9wR5aLMllOKj,Los Lonely Boys,99610.0,rock,blues,LastFM
1629,7FDlvgcodNfC0IBdWevl4u,James Vincent McMorrow,603043.0,singer-songwriter,folk,LastFM
1630,3QovPpv57eauImjWjWtX7O,Moors,5267.0,hip hop,hip hop,LastFM
1631,5tCcGNhAW0do4RlIz9WilZ,Dpat,25837.0,experimental,electronic,LastFM
1632,2O7oRN5HAWrg21HegiHMXK,Atu,27903.0,indie,chillwave,LastFM
1633,01LfDhfF9mkpmEwRalZCmO,Ryan Star,43861.0,rock,alternative rock,LastFM
1634,2x7iCl510O317XjOcG7iOf,Stephin Merritt,10093.0,indie,indie,LastFM
1635,5aD0uh1BpYTN7AzhiSDgaO,Joseph Arthur,41529.0,singer-songwriter,singer-songwriter,LastFM
1636,7HeVXdOdMhLslVputGTZFQ,Timber Timbre,222174.0,indie,folk,LastFM
1637,1S9WGrK7SZfXXQtHBYzDle,Sammy Adams,161687.0,hip hop,rap,LastFM
1638,6Itk5NbYeuCzR9igJVYeUo,Genio Y Baby Johnny,15069.0,hip hop,reggaeton,LastFM
1639,2NhdGz9EDv2FeUw6udu2g1,The Wanted,2499214.0,pop,pop,LastFM
1640,0hWL8sffP07PbVm5ilnf1o,Rachel K Collier,22481.0,edm,electronic,LastFM
1641,7pyhre5oEEFMqcgMEvJY7q,Sky Ferreira,628764.0,pop,pop,LastFM
1642,0B1prtAE9Ca9hTs0rUkjHG,MellowHigh,85453.0,hip hop,hip hop,LastFM
1643,3kf0gOpxWtkyeMNJVDQPtd,Smoke DZA,289377.0,hip hop,rap,LastFM
1644,0RdRumkn2UydUjqytNJ2Cp,White Denim,144246.0,indie,indie rock,LastFM
1645,6GH0NzpthMGxu1mcfAkOde,Hellogoodbye,229268.0,indie,indie,LastFM
1646,1Lvrnoz3ZKzzrBuZ446e6P,Ednita Nazario,369286.0,latin,latin,LastFM
1647,0FC1LIeQXKib0jOwZqeIwT,Brett Dennen,198333.0,singer-songwriter,folk,LastFM
1648,5l5JD2LJPnIoVeco82Tk4q,Huey Mack,55560.0,hip hop,rap,LastFM
1649,2W64m26ZhsqG0XzLwweUDB,+Plus,391.0,funk,anime,LastFM
1650,1PLakF1tFiv9zn73N2UjaN,Chris Cox,3446.0,edm,electronic,LastFM
1651,0ygIgsjUzKivFgxgjQ9iV9,Jacques Greene,93848.0,edm,house,LastFM
1652,34vLhockmYhf3LgznwyNaQ,POLIÇA,179403.0,indie,electronic,LastFM
1653,1fYdgyGBrMIEML5cuo5FpZ,Natasha Mosley,71771.0,edm,electronica,LastFM
1654,3D6cosC5ZOLCpRxt6T3XS7,The Kite String Tangle,85683.0,indie,electronica,LastFM
1655,6MTByljF8u5omBltY2VKPU,Anoushka Shankar,275770.0,world,,LastFM
1656,4j7EVY3kuDwLPfD2jfC7LC,Toad The Wet Sprocket,368497.0,rock,alternative rock,LastFM
1657,3Oim8XBPbznAa8Jj8QzNc8,Cults,1129698.0,experimental,indie pop,LastFM
1658,66ScZxprvrMbCtN4ivA0JX,Kevin Devine,48878.0,singer-songwriter,singer-songwriter,LastFM
